,user_name,top_track_name,top_track_artist,song_rank
342,rkhelaa_,Go as a Dream,Caroline Polachek,43
343,rkhelaa_,February 2017 (feat. Clairo and Yaeji),Charli XCX,44
344,rkhelaa_,Fuck it I love you,Lana Del Rey,45
345,rkhelaa_,212 (feat. Lazy Jay),Azealia Banks,46
346,rkhelaa_,Delicious (feat. Tommy Cash),Charli XCX,47
347,rkhelaa_,Sober II (Melodrama),Lorde,48
348,rkhelaa_,The Night Song,Ravyn Lenae,49
349,rkhelaa_,I Wouldn't Ask You,Clairo,50
350,quicksandz,Selfish,Little Simz,1
351,quicksandz,Quicksand,Hatchie,2
352,quicksandz,AMERICAN GURL,Kilo Kish,3
353,quicksandz,Demon,Moonchild Sanelly,4
354,quicksandz,Jackie,Yves Tumor,5
355,quicksandz,Ride With Me,Pip Millett,6
356,quicksandz,Woman,Little Simz,7
357,quicksandz,I Want,Enny,8
358,quicksandz,10%,KAYTRANADA,9
359,quicksandz,Selfish Soul,Sudan Archives,10
360,quicksandz,Gospel for a New Century,Yves Tumor,11
361,quicksandz,umbrellar,Dua Saleh,12
362,quicksandz,Doorman,slowthai,13
363,quicksandz,Feel Good Inc.,Gorillaz,14
364,quicksandz,Awake,Tkay Maidza,15
365,quicksandz,Hedonism (Just Because You Feel Good),Skunk Anansie,16
366,quicksandz,Baby Powder,Jenevieve,17
367,quicksandz,It's Been A Little Heavy Lately,Joesef,18
368,quicksandz,Illusions,Roses Gabor,19
369,quicksandz,Feet Don't Fail Me Now,Joy Crookes,20
370,quicksandz,The Less I Know the Better,Tame Impala,21
371,quicksandz,Introvert,Little Simz,22
372,quicksandz,Kyoto,Phoebe Bridgers,23
373,quicksandz,BB,Shygirl,24
374,quicksandz,Army of Me,Björk,25
375,quicksandz,212 (feat. Lazy Jay),Azealia Banks,26
376,quicksandz,This Enchanted,Hatchie,27
377,quicksandz,Tyrant (feat. Jorja Smith),Kali Uchis,28
378,quicksandz,Rewind,Kelela,29
379,quicksandz,I Love You I Hate You,Little Simz,30
380,quicksandz,BITE ME,Kilo Kish,31
381,quicksandz,The Key to Life on Earth,Declan McKenna,32
382,quicksandz,Glory Box,Portishead,33
383,quicksandz,Hu Man,Greentea Peng,34
384,quicksandz,So Hot You're Hurting My Feelings,Caroline Polachek,35
385,quicksandz,NICE OUT,Kilo Kish,36
386,quicksandz,Be Sweet,Japanese Breakfast,37
387,quicksandz,Zatoichi,Denzel Curry,38
388,quicksandz,Confessions,Sudan Archives,39
389,quicksandz,Nothing Matters,The Last Dinner Party,40
390,quicksandz,Happy Ending,Kelela,41
391,quicksandz,I'm Not in Love,Kelsey Lu,42
392,quicksandz,how will i rest in peace if i'm buried by a highway?//,KennyHoopla,43
393,quicksandz,Sour Times,Portishead,44
394,quicksandz,SLIME,Shygirl,45
395,quicksandz,Spotlight,Jessie Ware,46
396,quicksandz,Darker Place,Rachel Chinouriri,47
397,quicksandz,DARE,Gorillaz,48
398,quicksandz,Bashiri,Moonchild Sanelly,49
399,quicksandz,Lava/Treacle,Eliza,50
400,TheoMarvel43,Lowkey as Hell,Waterparks,1
401,TheoMarvel43,You’d Be Paranoid Too (If Everyone Was Out To Get You),Waterparks,2
402,TheoMarvel43,Wildest Dreams (Taylor's Version),Taylor Swift,3
403,TheoMarvel43,I Just Wanna Know What Happens When I'm Dead,Hot Milk,4
404,TheoMarvel43,Just Kidding,Waterparks,5
405,TheoMarvel43,Violet!,Waterparks,6
406,TheoMarvel43,champagne problems,Taylor Swift,7
407,TheoMarvel43,Numb,Waterparks,8
408,TheoMarvel43,debbie downer,LØLØ & Maggie Lindemann,9
409,TheoMarvel43,Snow Globe,Waterparks,10
410,TheoMarvel43,He Said She Said,CHVRCHES,11
411,TheoMarvel43,Quarantine,blink-182,12
412,TheoMarvel43,Feeling This,blink-182,13
413,TheoMarvel43,Favorite Place (feat. The Band CAMINO),All Time Low,14
414,TheoMarvel43,PMA (feat. Pale Waves),All Time Low,15
415,TheoMarvel43,Magnetic,Waterparks,16
416,TheoMarvel43,Cruel Summer,Taylor Swift,17
417,TheoMarvel43,The Other Side of the Door (Taylor’s Version),Taylor Swift,18
418,TheoMarvel43,He Gets Me So High,beabadoobee,19
419,TheoMarvel43,Once In A Lifetime,All Time Low,20
420,TheoMarvel43,Last Kiss,Taylor Swift,21
421,TheoMarvel43,Dendron,The Hotelier,22
422,TheoMarvel43,Generational Divide,blink-182,23
423,TheoMarvel43,It Finds Us All,Keith Wallen,24
424,TheoMarvel43,Monsters (feat. Blackbear),All Time Low,25
425,TheoMarvel43,EDGING,blink-182,26
426,TheoMarvel43,love race (feat. Kellin Quinn),Machine Gun Kelly,27
427,TheoMarvel43,How You Love Me Now,Hey Monday,28
428,TheoMarvel43,"no body, no crime (feat. HAIM)",Taylor Swift,29
429,TheoMarvel43,Built This Pool,blink-182,30
430,TheoMarvel43,Stockholm Syndrome,blink-182,31
431,TheoMarvel43,Going Away to College,blink-182,32
432,TheoMarvel43,Some Kind Of Disaster,All Time Low,33
433,TheoMarvel43,"Teasing to Please (Left Side, Strong Side)",Cute Is What We Aim For,34
434,TheoMarvel43,You've Got So Far to Go,Alkaline Trio,35
435,TheoMarvel43,Trouble Is,All Time Low,36
436,TheoMarvel43,Read My Mind,You Me at Six,37
437,TheoMarvel43,'tis the damn season,Taylor Swift,38
438,TheoMarvel43,Carolina (From The Motion Picture “Where The Crawdads Sing”),Taylor Swift,39
439,TheoMarvel43,Where do we go now?,Gracie Abrams,40
440,TheoMarvel43,This Love (Taylor’s Version),Taylor Swift,41
441,TheoMarvel43,"jealousy, jealousy",Olivia Rodrigo,42
442,TheoMarvel43,American Graffiti,Waterparks,43
443,TheoMarvel43,All Too Well,Taylor Swift,44
444,TheoMarvel43,willow,Taylor Swift,45
445,TheoMarvel43,ivy,Taylor Swift,46
446,TheoMarvel43,"January Gloom (Seasons, Pt. 1)",All Time Low,47
447,TheoMarvel43,What's My Age Again?,blink-182,48
448,TheoMarvel43,Melancholy Kaleidoscope,All Time Low,49
449,TheoMarvel43,Dammit,blink-182,50
450,wahoo650,Lucid,Jesus Piece,1
451,wahoo650,Swallowing the Rabbit Whole,Code Orange,2
452,wahoo650,Slaves to Substance,Suicide Silence,3
453,wahoo650,Destroyed by Hippie Powers,Car Seat Headrest,4
