,user_name,top_track_name,top_track_artist
223,irrelevantstfu1,The Change,Evanescence
224,irrelevantstfu1,how could you do this to me?,Maggie Lindemann
225,irrelevantstfu1,People You Know,Selena Gomez
226,irrelevantstfu1,Anomaly,I See Stars
227,irrelevantstfu1,Crash and Burn,Maggie Lindemann
228,irrelevantstfu1,high off you,Dedframe
229,irrelevantstfu1,Scissorhands,Maggie Lindemann
230,irrelevantstfu1,Black Swan,BTS
231,irrelevantstfu1,Carmen,Lana Del Rey
232,irrelevantstfu1,Тебя любить,Три Дня Дождя
233,irrelevantstfu1,Sharpener’s Calling Me Again (feat. Kina),Cavetown
234,irrelevantstfu1,Слёзы на ветер,Три Дня Дождя
235,irrelevantstfu1,Беги от меня,Три Дня Дождя
236,irrelevantstfu1,Силуэт,Jony
237,irrelevantstfu1,i don't know what to say,Bring Me the Horizon
238,irrelevantstfu1,Мишка (feat. KATERINA),Poshlaya Molly
239,irrelevantstfu1,Вина,Три Дня Дождя
240,irrelevantstfu1,In My Feelings,Lana Del Rey
241,irrelevantstfu1,Театр Теней,Три Дня Дождя
242,irrelevantstfu1,Part of Me,Call Me Karizma
243,irrelevantstfu1,Космос,Три Дня Дождя
244,irrelevantstfu1,Never Know,Bad Omens
245,irrelevantstfu1,За край,Три Дня Дождя
246,irrelevantstfu1,Яд,Erika Lundmoen
247,irrelevantstfu1,told you so,Bailey Spinn
248,irrelevantstfu1,substituível,Lou Garcia
249,irrelevantstfu1,Poison Tree,Grouper
250,kevlleh,Rain on Me (with Ariana Grande),Lady Gaga
251,kevlleh,party 4 u,Charli XCX
252,kevlleh,Stupid Love,Lady Gaga
253,kevlleh,Robbers,The 1975
254,kevlleh,CHARGER (ft. Charli XCX),Elio
255,kevlleh,Drama,Bladee
256,kevlleh,Babylon,Lady Gaga
257,kevlleh,Ribs,Lorde
258,kevlleh,911,Lady Gaga
259,kevlleh,Sour Candy (with BLACKPINK),Lady Gaga
260,kevlleh,Chromatica II,Lady Gaga
261,kevlleh,Plastic Doll,Lady Gaga
262,kevlleh,What You Were,The Drums
263,kevlleh,Replay,Lady Gaga
264,kevlleh,claws,Charli XCX
265,kevlleh,Heart Out,The 1975
266,kevlleh,Free Woman,Lady Gaga
267,kevlleh,Alice,Lady Gaga
268,kevlleh,Chromatica I,Lady Gaga
269,kevlleh,"Eat, Sleep, Wake (Nothing But You)",Bombay Bicycle Club
270,kevlleh,Fun Tonight,Lady Gaga
271,kevlleh,LA NOCHE DE ANOCHE,Bad Bunny
272,kevlleh,Tu T'en lasses,La Femme
273,kevlleh,Shangrila,The Goddams
274,kevlleh,Nice 2 Know U 1.5.3 [2020 Export Wav],Flume
275,kevlleh,Enigma,Lady Gaga
276,kevlleh,The 1975,The 1975
277,kevlleh,Surprise,Kevin Krauter
278,kevlleh,Don't Start Now,Dua Lipa
279,kevlleh,The One That I Die 4,Charli XCX
280,kevlleh,Borderline,Tame Impala
281,kevlleh,Me,The 1975
282,kevlleh,1000 Doves,Lady Gaga
283,kevlleh,Feel the Lightning,Dan Deacon
284,kevlleh,Sine from Above (with Elton John),Lady Gaga
285,kevlleh,Shallow,Lady Gaga
286,kevlleh,forever,Charli XCX
287,kevlleh,7 years,Charli XCX
288,kevlleh,Hit Me Where It Hurts,Caroline Polachek
289,kevlleh,So Hot You're Hurting My Feelings,Caroline Polachek
290,kevlleh,Taxi,Charli XCX
291,kevlleh,Sex,The 1975
292,kevlleh,Bloody Mary,Lady Gaga
293,kevlleh,c2.0,Charli XCX
294,kevlleh,Surprise Me,Mallrat
295,kevlleh,Fallingforyou,The 1975
296,kevlleh,Blame It on Your Love (feat. Lizzo),Charli XCX
297,kevlleh,Love Me Right,Lady Gaga
298,kevlleh,Welcome to My Island - George Daniel & Charli XCX Remix,Caroline Polachek
299,kevlleh,anthems,Charli XCX
300,rkhelaa_,The Louvre,Lorde
301,rkhelaa_,Softly,Clairo
302,rkhelaa_,Pang,Caroline Polachek
303,rkhelaa_,Hey Big Eyes,Caroline Polachek
304,rkhelaa_,Door,Caroline Polachek
305,rkhelaa_,Hit Me Where It Hurts,Caroline Polachek
306,rkhelaa_,Femmebot (feat. Dorian Electra and Mykki Blanco),Charli XCX
307,rkhelaa_,Caroline Shut Up,Caroline Polachek
308,rkhelaa_,So Hot You're Hurting My Feelings,Caroline Polachek
309,rkhelaa_,Tears (feat. Caroline Polachek),Charli XCX
310,rkhelaa_,Supercut,Lorde
311,rkhelaa_,Mariners Apartment Complex,Lana Del Rey
312,rkhelaa_,Perfect Places,Lorde
313,rkhelaa_,Wade,Clairo
314,rkhelaa_,North,Clairo
315,rkhelaa_,Closer To You,Clairo
316,rkhelaa_,//aguardiente y limón %ᵕ‿‿ᵕ%,Kali Uchis
317,rkhelaa_,quiero sentirme bien,Kali Uchis
318,rkhelaa_,Sober,Lorde
319,rkhelaa_,Cross You Out (feat. Sky Ferreira),Charli XCX
320,rkhelaa_,Warm (feat. HAIM),Charli XCX
321,rkhelaa_,Hard Feelings/Loveless,Lorde
322,rkhelaa_,Tiro,Arca
323,rkhelaa_,Norman fucking Rockwell,Lana Del Rey
324,rkhelaa_,Your Teeth in My Neck,Kali Uchis
325,rkhelaa_,Floating (feat. Hope Tala),Raveena
326,rkhelaa_,Bambi,Clairo
327,rkhelaa_,Flight 22,Kali Uchis
328,rkhelaa_,Bags,Clairo
329,rkhelaa_,CHIRI,ROSALÍA
330,rkhelaa_,Sinking,Clairo
331,rkhelaa_,de nadie,Kali Uchis
332,rkhelaa_,Writer in the Dark,Lorde
333,rkhelaa_,Zinnias,Clairo
334,rkhelaa_,la luz(Fín),Kali Uchis
335,rkhelaa_,I Give Up,Caroline Polachek
336,rkhelaa_,Look at Me Now,Caroline Polachek
337,rkhelaa_,2099 (feat. Troye Sivan),Charli XCX
338,rkhelaa_,Ocean of Tears,Caroline Polachek
339,rkhelaa_,Impossible,Clairo
340,rkhelaa_,Closure,Kelela
341,rkhelaa_,Insomnia,Caroline Polachek
342,rkhelaa_,Go as a Dream,Caroline Polachek
343,rkhelaa_,February 2017 (feat. Clairo and Yaeji),Charli XCX
344,rkhelaa_,Fuck it I love you,Lana Del Rey
345,rkhelaa_,212 (feat. Lazy Jay),Azealia Banks
346,rkhelaa_,Delicious (feat. Tommy Cash),Charli XCX
347,rkhelaa_,Sober II (Melodrama),Lorde
348,rkhelaa_,The Night Song,Ravyn Lenae
349,rkhelaa_,I Wouldn't Ask You,Clairo
350,quicksandz,Selfish,Little Simz
351,quicksandz,Quicksand,Hatchie
352,quicksandz,AMERICAN GURL,Kilo Kish
353,quicksandz,Demon,Moonchild Sanelly
354,quicksandz,Jackie,Yves Tumor
355,quicksandz,Ride With Me,Pip Millett
356,quicksandz,Woman,Little Simz
357,quicksandz,I Want,Enny
358,quicksandz,10%,KAYTRANADA
359,quicksandz,Selfish Soul,Sudan Archives
360,quicksandz,Gospel for a New Century,Yves Tumor
361,quicksandz,umbrellar,Dua Saleh
362,quicksandz,Doorman,slowthai
363,quicksandz,Feel Good Inc.,Gorillaz
364,quicksandz,Awake,Tkay Maidza
365,quicksandz,Hedonism (Just Because You Feel Good),Skunk Anansie
366,quicksandz,Baby Powder,Jenevieve
367,quicksandz,It's Been A Little Heavy Lately,Joesef
368,quicksandz,Illusions,Roses Gabor
369,quicksandz,Feet Don't Fail Me Now,Joy Crookes
370,quicksandz,The Less I Know the Better,Tame Impala
371,quicksandz,Introvert,Little Simz
372,quicksandz,Kyoto,Phoebe Bridgers
373,quicksandz,BB,Shygirl
374,quicksandz,Army of Me,Björk
375,quicksandz,212 (feat. Lazy Jay),Azealia Banks
